key,english,tchinese
modscopeaksionEKP1s03Desc,"Weight: [4FBE28]0.270kg[-]\n\nCompatibility: firearms with dovetail platform",Weight: [4FBE28]0.270kg[-]\n\n相容性: 帶有燕尾槽平台的槍支
modscopeaksionEKP802,"[09FF00]Aksion Kobra EKP-8-02 Reflex Sight Dovetail[-]",[09FF00]Aksion Kobra EKP-8-02 反射瞄準鏡燕尾導軌[-]
modscopeaksionEKP802Desc,"Weight: [4FBE28]0.270kg[-]\n\nCompatibility: firearms with dovetail platform",Weight: [4FBE28]0.270kg[-]\n\n相容性: 帶有燕尾槽平台的槍支
modscopeBelOMOdovetailPKAA,"[09FF00]BelOMO PK-AA Reflex Sight Dovetail[-]",[09FF00]BelOMO PK-AA 反射瞄準鏡燕尾導軌[-]
modscopeBelOMOdovetailPKAADesc,"Weight: [4FBE28]0.450kg[-]\n\nCompatibility: firearms with dovetail platform",Weight: [4FBE28]0.450kg[-]\n\n相容性: 帶有燕尾槽平台的槍支
modscopeElcanSpecterHCO,"[09FF00]Elcan Specter HCO Holographic Sight[-]",[09FF00]Elcan Specter HCO 全息瞄準鏡[-]
modscopeElcanSpecterHCODesc,"Weight: [4FBE28]0.433kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.433kg[-]\n\n相容性: 大多數的槍枝
modscopeLeapersUTG,"[09FF00]Leapers UTG Reflex Sight[-]",[09FF00]Leapers UTG 反射瞄準鏡[-]
modscopeLeapersUTGDesc,"Weight: [4FBE28]0.227kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.227kg[-]\n\n相容性: 大多數的槍枝
modscopeNPZPK1,"[09FF00]NPZ PK-1 Obzor Reflex Sight Dovetail[-]",[09FF00]NPZ PK-1 Obzor 反射瞄準鏡燕尾導軌[-]
modscopeNPZPK1Desc,"Weight: [4FBE28]0.520kg[-]\n\nCompatibility: firearms with dovetail platform",Weight: [4FBE28]0.520kg[-]\n\n相容性: 帶有燕尾槽平台的槍支
modscopeOKP7dovetail,"[09FF00]OKP-7 Reflex Sight Dovetail[-]",[09FF00]OKP-7 反射瞄準鏡燕尾導軌[-]
modscopeOKP7dovetailDesc,"Weight: [4FBE28]0.295kg[-]\n\nCompatibility: firearms with dovetail platform",Weight: [4FBE28]0.295kg[-]\n\n相容性: 帶有燕尾槽平台的槍支
modscopeSIGRomeo8T,"[09FF00]SIG Sauer ROMEO8T Reflex Sight[-]",[09FF00]SIG Sauer ROMEO8T 反射瞄準鏡[-]
modscopeSIGRomeo8TDesc,"Weight: [4FBE28]0.388kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.388kg[-]\n\n相容性: 大多數的槍枝
modscopeSRS02,"[09FF00]Trijicon SRS 02 Reflex Sight[-]",[09FF00]Trijicon SRS 02 反射瞄準鏡[-]
modscopeSRS02Desc,"Weight: [4FBE28]0.390kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.390kg[-]\n\n相容性: 大多數的槍枝
modscopeValdayKrechet,"[09FF00]Valday Krechet Reflex Sight[-]",[09FF00]Valday Krechet 反射瞄準鏡[-]
modscopeValdayKrechetDesc,"Weight: [4FBE28]0.350kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.350kg[-]\n\n相容性: 大多數的槍枝
modscopeValdayPK120,"[09FF00]Valday PK-120 Reflex Sight[-]",[09FF00]Valday PK-120 反射瞄準鏡[-]
modscopeValdayPK120Desc,"Weight: [4FBE28]0.297kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.297kg[-]\n\n相容性: 大多數的槍枝
modscopeVOMZPiladP1,"[09FF00]VOMZ Pilad P1x42 Reflex Sight[-]",[09FF00]VOMZ Pilad P1x42 反射瞄準鏡[-]
modscopeVOMZPiladP1Desc,"Weight: [4FBE28]0.297kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.297kg[-]\n\n相容性: 大多數的槍枝
modscopeVortexRazorAMGUH1,"[09FF00]Vortex Razor AMG UH-1 Reflex Sight[-]",[09FF00]Vortex Razor AMG UH-1 反射瞄準鏡[-]
modscopeVortexRazorAMGUH1Desc,"Weight: [4FBE28]0.160kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.160kg[-]\n\n相容性: 大多數的槍枝
modscopewalthermrsreflex,"[09FF00]Walther MRS Reflex Sight[-]",[09FF00]Walther MRS 反射瞄準鏡[-]
modscopewalthermrsreflexDesc,"Weight: [4FBE28]0.113kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.113kg[-]\n\n相容性: 大多數的槍枝
modscopeWilcoxBossXeHP,"[09FF00]Wilcox BOSS Xe Reflex Sight[-]",[09FF00]Wilcox BOSS Xe 反射瞄準鏡[-]
modscopeWilcoxBossXeHPDesc,"Weight: [4FBE28]0.250kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.250kg[-]\n\n相容性: 大多數的槍枝
modscopeokp7reflex,"[09FF00]OKP-7 Reflex Sight[-]",[09FF00]OKP-7 反射瞄準鏡[-]
modscopeokp7reflexDesc,"Weight: [4FBE28]0.295kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.295kg[-]\n\n相容性: 大多數的槍枝
modscopeEOTech553holo,"[09FF00]EOTech 553[-]",[09FF00]EOTech 553[-]
modscopeEOTech553holoDesc,"Weight: [4FBE28]0.349kg[-]\n\nCompatibility: most firearms",Weight: [4FBE28]0.349kg[-]\n\n相容性: 大多數的槍枝
modscopeFNP90ringreflex,"[004CFF]P90 Ring Reflex Sight[-]",[004CFF]P90 Ring 反射瞄準鏡[-]
modscopeFNP90ringreflexDesc,"Weight: [4FBE28]0.297kg[-]\n\nCompatibility: P90",重量：[4FBE28]0.297kg[-]\n\n相容性：P90
modscopeElcanSpecterDR,"[004CFF]ELCAN SpecterDR 1x/4x Scope[-]",[004CFF]ELCAN SpecterDR 1x/4x 瞄準鏡[-]
modscopeElcanSpecterDRDesc,"Weight: [4FBE28]0.640kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.640kg[-]\n\n相容性：大多數槍械
modscopeNPZ1p78,"[09FF00]NPZ 1P78-1 2.8x Scope Dovetail[-]",[09FF00]NPZ 1P78-1 2.8x 瞄準鏡燕尾導軌[-]
modscopeNPZ1p78Desc,"Weight: [4FBE28]0.640kg[-]\n\nCompatibility: firearms with dovetail platform",重量：[4FBE28]0.640kg[-]\n\n相容性：擁有燕尾導軌的平台槍械
modscopeNPZ1p29,"[09FF00]NPZ USP-1 Tyulpan 4x Scope Dovetail[-]",[09FF00]NPZ USP-1 Tyulpan 4x 瞄準鏡燕尾導軌[-]
modscopeNPZ1p29Desc,"Weight: [4FBE28]0.500kg[-]\n\nCompatibility: firearms with dovetail platform",重量：[4FBE28]0.500kg[-]\n\n相容性：擁有燕尾導軌的平台槍械
modscopeBelOMOPSO1M2,"[09FF00]BelOMO PSO-1M2-1 4x24 Scope Dovetail[-]",[09FF00]BelOMO PSO-1M2-1 4x24 瞄準鏡燕尾導軌[-]
modscopeBelOMOPSO1M2Desc,"Weight: [4FBE28]0.600kg[-]\n\nCompatibility: firearms with dovetail platform",重量：[4FBE28]0.600kg[-]\n\n相容性：擁有燕尾導軌的平台槍械
modscopemonstrumcompact,"[09FF00]Monstrum Compact Scope[-]",[09FF00]Monstrum Compact 瞄準鏡[-]
modscopemonstrumcompactDesc,"Weight: [4FBE28]0.425kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.425kg[-]\n\n相容性：大多數槍械
modscopeSwampFoxPrism,"[09FF00]SwampFox Trihawk Prism 3x30 Scope[-]",[09FF00]SwampFox Trihawk Prism 3x30 瞄準鏡[-]
modscopeSwampFoxPrismDesc,"Weight: [4FBE28]0.436kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.436kg[-]\n\n相容性：大多數槍械
modscopeeotechhhshybrid,"[004CFF]EOTech HHS Hybrid Sight[-]",[004CFF]EOTech HHS 混合瞄準鏡[-]
modscopeeotechhhshybridDesc,"Weight: [4FBE28]0.635kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.635kg[-]\n\n相容性：大多數槍械
modscopeacogta01NSN4x32,"[004CFF]Trijicon ACOG TA01NSN 4x32 Scope[-]",[004CFF]Trijicon ACOG TA01NSN 4x32 瞄準鏡[-]
modscopeacogta01NSN4x32Desc,"Weight: [4FBE28]0.506kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.506kg[-]\n\n相容性：大多數槍械
modscopeacogta11D35x,"[004CFF]Trijicon ACOG TA11D 3.5x35 Scope[-]",[004CFF]Trijicon ACOG TA11D 3.5x35 瞄準鏡[-]
modscopeacogta11D35xDesc,"Weight: [4FBE28]0.506kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.506kg[-]\n\n相容性：大多數槍械
modscopeLeupoldMark4Hamr,"[004CFF]Leupold Mark 4 HAMR 4x24 Hybrid Scope[-]",[004CFF]Leupold Mark 4 HAMR 4x24 混合瞄準鏡[-]
modscopeLeupoldMark4HamrDesc,"Weight: [4FBE28]0.411kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.411kg[-]\n\n相容性：大多數槍械
modscopeSIGBravo4,"[004CFF]SIG Sauer BRAVO4 4x30 Scope[-]",[004CFF]SIG Sauer BRAVO4 4x30 瞄準鏡[-]
modscopeSIGBravo4Desc,"Weight: [4FBE28]0.419kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.419kg[-]\n\n相容性：大多數槍械
modscopeValdayPS320,"[004CFF]Valday PS-320 1/6x Scope[-]",[004CFF]Valday PS-320 1/6x 瞄準鏡[-]
modscopeValdayPS320Desc,"Weight: [4FBE28]0.570kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.570kg[-]\n\n相容性：大多數槍械
modscopeSBPMII18x2430mm,"[004CFF]Schmidt & Bender PM II 1-8x24 Scope[-]",[004CFF]Schmidt & Bender PM II 1-8x24 瞄準鏡[-]
modscopeSBPMII18x2430mmDesc,"Weight: [4FBE28]1.139kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]1.139kg[-]\n\n相容性：大多數槍械
modscopeSBPMII320x5034mm,"[004CFF]Schmid & Bender PM II 3-20x50 Scope[-]",[004CFF]Schmid & Bender PM II 3-20x50 瞄準鏡[-]
modscopeSBPMII320x5034mmDesc,"Weight: [4FBE28]1.240kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]1.240kg[-]\n\n相容性：大多數槍械
modscopeSBPMII525x5634mm,"[004CFF]Schmidt & Bender PM II 5-25x56 Scope[-]",[004CFF]Schmidt & Bender PM II 5-25x56 瞄準鏡[-]
modscopeSBPMII525x5634mmDesc,"Weight: [4FBE28]1.420kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]1.420kg[-]\n\n相容性：大多數槍械
modscopeBFTac3014x2430mm,"[004CFF]Burris Fullfield TAC30 1-4x24 Scope[-]",[004CFF]Burris Fullfield TAC30 1-4x24 瞄準鏡[-]
modscopeBFTac3014x2430mmDesc,"Weight: [4FBE28]0.726kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.726kg[-]\n\n相容性：大多數槍械
modscopeEOTVudu16x2430mm,"[004CFF]EOTech Vudu 1-6x24 Scope[-]",[004CFF]EOTech Vudu 1-6x24 瞄準鏡[-]
modscopeEOTVudu16x2430mmDesc,"Weight: [4FBE28]0.816kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.816kg[-]\n\n相容性：大多數槍械
modscopeLeupoldMark4LR30mm,"[004CFF]Leupold Mark4 LR 6.5-20x50 Scope[-]",[004CFF]Leupold Mark4 LR 6.5-20x50 瞄準鏡[-]
modscopeLeupoldMark4LR30mmDesc,"Weight: [4FBE28]0.870kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.870kg[-]\n\n相容性：大多數槍械
modscopeMarchTactical30mm,"[004CFF]March Tactical 3-24x42 Scope[-]",[004CFF]March Tactical 3-24x42 瞄準鏡[-]
modscopeMarchTactical30mmDesc,"Weight: [4FBE28]0.890kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.890kg[-]\n\n相容性：大多數槍械
modscopeSIGTango6T16x2430mm,"[004CFF]SIG Sauer TANGO6T 1-6x24 Scope[-]",[004CFF]SIG Sauer TANGO6T 1-6x24 瞄準鏡[-]
modscopeSIGTango6T16x2430mmDesc,"Weight: [4FBE28]0.876kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.876kg[-]\n\n相容性：大多數槍械
modscopeRazorHDGen216x2430mm,"[004CFF]Vortex Razor HD Gen.2 1-6x24 Scope[-]",[004CFF]Vortex Razor HD Gen.2 1-6x24 瞄準鏡[-]
modscopeRazorHDGen216x2430mmDesc,"Weight: [4FBE28]0.820kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.820kg[-]\n\n相容性：大多數槍械
modscopeNFATACR735x5634mm,"[004CFF]Nightforce ATACR 7-35x56 Scope[-]",[004CFF]Nightforce ATACR 7-35x56 瞄準鏡[-]
modscopeNFATACR735x5634mmDesc,"Weight: [4FBE28]1.363kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]1.363kg[-]\n\n相容性：大多數槍械
modscopeHensoldtFF416x5634mm,"[004CFF]Hensoldt FF 4-16x56 Scope[-]",[004CFF]Hensoldt FF 4-16x56 瞄準鏡[-]
modscopeHensoldtFF416x5634mmDesc,"Weight: [4FBE28]1.150kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]1.150kg[-]\n\n相容性：大多數槍械
modscopeNCStarADO,"[004CFF]NcSTAR ADO P4 3-9x42 Hybrid Scope[-]",[004CFF]NcSTAR ADO P4 3-9x42 混合瞄準鏡[-]
modscopeNCStarADODesc,"Weight: [4FBE28]0.595kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.595kg[-]\n\n相容性：大多數槍械
modscopeKMZ1p69Weaver,"[004CFF]KMZ 1P69 3-10x Scope Weaver[-]",[004CFF]KMZ 1P69 3-10x 瞄準鏡 Weaver[-]
modscopeKMZ1p69WeaverDesc,"Weight: [4FBE28]0.940kg[-]\n\nCompatibility: most firearms",重量：[4FBE28]0.940kg[-]\n\n相容性：大多數槍械
modscopeKMZ1p69Dovetail,"[004CFF]KMZ 1P69 3-10x Scope Dovetail[-]",[004CFF]KMZ 1P69 3-10x 瞄準鏡燕尾導軌[-]
modscopeKMZ1p69DovetailDesc,"Weight: [4FBE28]0.940kg[-]\n\nCompatibility: firearms with dovetail platform",重量：[4FBE28]0.940kg[-]\n\n相容性：擁有燕尾導軌的平台槍械
modscopeG36HensoldtCarryHandle3x,"[004CFF]HK G36 Hensoldt HKV 3x carry handle[-]",[004CFF]HK G36 Hensoldt HKV 3x 握柄瞄準鏡[-]
modscopeG36HensoldtCarryHandle3xDesc,"Weight: [4FBE28]0.420kg[-]\n\nCompatibility: G36",重量：[4FBE28]0.420kg[-]\n\n相容性：G36
modscopeaimpointAcroP1canted,[09FF00]Aimpoint ACRO P-1 reflex sight (Canted)[-],[09FF00]Aimpoint ACRO P-1 反射瞄準鏡 (傾斜)[-]
modscopeaimpointAcroP1cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. ",相同光學瞄具，安裝於備用偏移瞄準架，用於快速近距離目標捕捉。按 'F' 鍵啟用。
modscopeaimpointMicroH2canted,[09FF00]Aimpoint Micro H-2 reflex sight (Canted)[-],[09FF00]Aimpoint Micro H-2 反射瞄準鏡 (傾斜)[-]
modscopeaimpointMicroH2cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. ",相同光學瞄具，安裝於備用偏移瞄準架，用於快速近距離目標捕捉。按 'F' 鍵啟用。
modscopeaimpointMicroT1canted,[09FF00]Aimpoint Micro T-1 reflex sight (Canted)[-],[09FF00]Aimpoint Micro T-1 反射瞄準鏡 (傾斜)[-]
modscopeaimpointMicroT1cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. ",相同光學瞄具，安裝於備用偏移瞄準架，用於快速近距離目標捕捉。按 'F' 鍵啟用。
modscopeBelOMOpk06canted,[09FF00]BelOMO PK-06 reflex sight (Canted)[-],[09FF00]BelOMO PK-06 反射瞄準鏡 (傾斜)[-]
modscopeBelOMOpk06cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. ",相同光學瞄具，安裝於備用偏移瞄準架，用於快速近距離目標捕捉。按 'F' 鍵啟用。
modscopeburrisfastfirecanted,[09FF00]Burris FastFire 3 reflex sight (Canted)[-],[09FF00]Burris FastFire 3 反射瞄準鏡 (傾斜)[-]
modscopeburrisfastfirecantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. ",相同光學瞄具，安裝於備用偏移瞄準架，用於快速近距離目標捕捉。按 'F' 鍵啟用。
modscopeleupolddeltapointcanted,[09FF00]Leupold DeltaPoint reflex sight (Canted)[-],[09FF00]Leupold DeltaPoint 反射瞄準鏡 (傾斜)[-]
modscopeleupolddeltapointcantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. ",相同光學瞄具，安裝於備用偏移瞄準架，用於快速近距離目標捕捉。按 'F' 鍵啟用。
modscopeSIGromeo4canted,[09FF00]SIG Sauer ROMEO4 reflex sight (Canted)[-],[09FF00]SIG Sauer ROMEO4 反射瞄準鏡 (傾斜)[-]
modscopeSIGromeo4cantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. ",相同光學瞄具，安裝於備用偏移瞄準架，用於快速近距離目標捕捉。按 'F' 鍵啟用。
modscopeRMRcanted,[09FF00]Trijicon RMR reflex sight (Canted)[-],[09FF00]Trijicon RMR 反射瞄準鏡 (傾斜)[-]
modscopeRMRcantedDesc,"Same optic, mounted on a back-up offset sight mount for quick closed-range target acquisition. Use 'F' key to activate. ",相同光學瞄具，安裝於備用偏移瞄準架，用於快速近距離目標捕捉。按 'F' 鍵啟用。
modSKStactickit, [09FF00]SKS Tactical Upgrade Kit[-],[09FF00]SKS 戰術升級套件[-]
modSKStactickitDesc,"Parts to upgrade your SKS. Allowing the installation of some AR-15 styled stocks, foregrip, bipod, laser/light and canted sight. ",升級 SKS 的零件，允許安裝部分 AR-15 風格槍托、前握把、雙腳架、雷射/燈光與傾斜瞄準鏡。
modmagmp9Cmag100,"[BB00FF]UZI/MP9 Custom 100-Round C-Mag[-]",[BB00FF]UZI/MP9 客製化 100 發 C-Mag 彈匣[-]
modmagmp9Cmag100Desc,"Weight: [4FBE28]1.180kg[-]\nMagazine Size: [4FBE28]100[-]\nReload Time: [FF4F33]+20%[-]\n\nCompatibility: MP-9N, UZI, UZI Pro SMG",重量：[4FBE28]1.180kg[-]\n彈匣容量：[4FBE28]100[-]\n裝填時間：[FF4F33]+20%[-]\n\n相容性：MP-9N、UZI、UZI Pro SMG
modhandguardUziRailedForegrip, [09FF00]UZI Railed Vertical Foregrip[-],[09FF00]UZI 導軌式垂直前握把[-]
modhandguardUziRailedForegripDesc,"Allowing the installation of [4FBE28]Laser/Light[-] on the standard UZI\nErgonomics: [4FBE28]+15%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-7%[-]\n\nCompatibility: UZI",允許在標準 UZI 上安裝 [4FBE28]雷射/燈光[-]\n人機功效：[4FBE28]+15%[-]\n腰射準確度：[4FBE28]+15%[-]\n後座力：[4FBE28]-7%[-]\n\n相容性：UZI
modbipodrailRexana,"[BB00FF]BT10 V8 Atlas Bipod[-]",[BB00FF]BT10 V8 Atlas 雙腳架[-]
modbipodrailRexanaDesc,"Weight: [4FBE28]0.310kg[-]\nErgonomics: [FF4F33]-10%[-] / [4FBE28]+25%[-] when deployed\nHipfire Accuracy: [FF4F33]-12%[-]\nRecoil: [4FBE28]-50%[-] when deployed\n\nCompatibility: many rifles and STM-9",重量：[4FBE28]0.310kg[-]\n人機功效：[FF4F33]-10%[-] / [4FBE28]+25%[-] 展開時\n腰射準確度：[FF4F33]-12%[-]\n後座力：[4FBE28]-50%[-] 展開時\n\n相容性：多數步槍及 STM-9
modgriphksturmgriff,"[09FF00]HK Sturmgriff Vertical Grip[-]",[09FF00]HK Sturmgriff 垂直握把[-]
modgriphksturmgriffDesc,"Weight: [4FBE28]0.070kg[-]\nErgonomics: [4FBE28]+10%[-]\nHipfire Accuracy: [4FBE28]+5%[-]\nRecoil: [4FBE28]-4%[-]\n\nCompatibility: General grip fits on most firearms. Enables side attachments like laser/light on guns with shorter handguards.",重量：[4FBE28]0.070kg[-]\n人機功效：[4FBE28]+10%[-]\n腰射準確度：[4FBE28]+5%[-]\n後座力：[4FBE28]-4%[-]\n\n相容性：通用握把適用於大多數槍械。允許在短護木的槍械上安裝側邊配件，如雷射/燈光。
modgripmagpulrvg,"[004CFF]Magpul Railed Vertical Grip[-]",[004CFF]Magpul Railed 垂直握把[-]
