key,english,tchinese
modmuzzlemp5noveskeDesc,"Weight: [4FBE28]0.380kg[-]\nRecoil: [4FBE28]-22%[-]\n\nCompatibility: MP5",重量: [4FBE28]0.380kg[-]\n後座力: [4FBE28]-22%[-]\n\n相容性: MP5  
modsilencerco46multiDesc,"Weight: [4FBE28]0.490kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most Firearms chambered in 9×19, 5.45×39, 5.56×45, 7.62×39 & 7.62×51",重量: [4FBE28]0.490kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-18%[-]\n腰射精準度: [FF4F33]-18%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: 適用於 9×19、5.45×39、5.56×45、7.62×39 & 7.62×51 口徑的絕大多數槍械  
modsilencerUziProDesc,"Weight: [4FBE28]0.680kg[-]\nRecoil: [4FBE28]-18%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+20%[-]\n\nCompatibility: MP-5, MP9-N, PP-19-01, Vector 9, STM-9, Glock 17, P226R, M9A3","重量: [4FBE28]0.680kg[-]\n後座力: [4FBE28]-18%[-]\n人機功效: [FF4F33]-18%[-]\n腰射精準度: [FF4F33]-18%[-]\n耐久度消耗: [FF4F33]+20%[-]\n\n相容性: MP-5, MP9-N, PP-19-01, Vector 9, STM-9, Glock 17, P226R, M9A3  "
modmuzzlevityazbrakecompensatorDesc,"Weight: [4FBE28]0.070kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: PP-19-01",重量: [4FBE28]0.070kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: PP-19-01  
modsilencermpxsdDesc,"Weight: [4FBE28]0.600kg[-]\nRecoil: [4FBE28]-22%[-]\nErgonomics: [FF4F33]-16%[-]\nHipfire Accuracy: [FF4F33]-16%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SIG MPX",重量: [4FBE28]0.600kg[-]\n後座力: [4FBE28]-22%[-]\n人機功效: [FF4F33]-16%[-]\n腰射精準度: [FF4F33]-16%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: SIG MPX  
modmuzzlestm9brakeDesc,"Weight: [4FBE28]0.084kg[-]\nRecoil: [4FBE28]-20%[-]\n\nCompatibility: STM-9",重量: [4FBE28]0.084kg[-]\n後座力: [4FBE28]-20%[-]\n\n相容性: STM-9  
modmuzzlegl17carver4portDesc,"Weight: [4FBE28]0.063kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: Glock 17",重量: [4FBE28]0.063kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: Glock 17  
modmuzzlep226tjcustomDesc,"Weight: [4FBE28]0.036kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: P226R",重量: [4FBE28]0.036kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: P226R  
modsilencersr1mpstdDesc,"Weight: [4FBE28]0.490kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SR-1MP",重量: [4FBE28]0.490kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: SR-1MP  
modsilencersr2msv1381Desc,"Weight: [4FBE28]0.575kg[-]\nRecoil: [4FBE28]-12%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SR-2M",重量: [4FBE28]0.575kg[-]\n後座力: [4FBE28]-12%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: SR-2M  
modmuzzle1911anarchyoutdoorsDesc,"Weight: [4FBE28]0.100kg[-]\nRecoil: [4FBE28]-20%[-]\n\nCompatibility: M1911, M45A1","重量: [4FBE28]0.100kg[-]\n後座力: [4FBE28]-20%[-]\n\n相容性: M1911, M45A1  "
modsilencermp7rotex2Desc,"Weight: [4FBE28]0.607kg[-]\nRecoil: [4FBE28]-18%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: MP7A1",重量: [4FBE28]0.607kg[-]\n後座力: [4FBE28]-18%[-]\n人機功效: [FF4F33]-18%[-]\n腰射精準度: [FF4F33]-18%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: MP7A1  
modsilencerp90attenuatorDesc,"Weight: [4FBE28]0.677kg[-]\nRecoil: [4FBE28]-16%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: P90",重量: [4FBE28]0.677kg[-]\n後座力: [4FBE28]-16%[-]\n人機功效: [FF4F33]-18%[-]\n腰射精準度: [FF4F33]-18%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: P90
modsilencer57gemtechDesc,"Weight: [4FBE28]0.150kg[-]\nRecoil: [4FBE28]-12%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: FN FiveSeven",重量: [4FBE28]0.150kg[-]\n後座力: [4FBE28]-12%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: FN FiveSeven  
modsilencerak74tgpaDesc,"Weight: [4FBE28]0.700kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-20%[-]\nHipfire Accuracy: [FF4F33]-20%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AK-74N/M, AKS-74UN, AK-107","重量: [4FBE28]0.700kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-20%[-]\n腰射精準度: [FF4F33]-20%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: AK-74N/M, AKS-74UN, AK-107  "
modmuzzleak74hexagonreactorDesc,"Weight: [4FBE28]0.095kg[-]\nRecoil: [4FBE28]-10%[-]\n\nCompatibility: AK-74N/M, AK-107\n\nActs as an adapter for 'AK-74 Hexagon Wafflemaker'","重量: [4FBE28]0.095kg[-]\n後座力: [4FBE28]-10%[-]\n\n相容性: AK-74N/M, AK-107\n\n充當 'AK-74 Hexagon Wafflemaker' 的轉接器  "
modsilencerak74hexagonwaffleDesc,"Weight: [4FBE28]0.290kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AK-74N/M and AK-107\n\nRequires adapter: 'AK Hexagon Reactor'",重量: [4FBE28]0.290kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: AK-74N/M 及 AK-107\n\n需要轉接器: 'AK Hexagon Reactor'  
modmuzzleak74jetmbrDesc,"Weight: [4FBE28]0.110kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: AKS-74UN, AK-74N/M, RPK-16, AK-107","重量: [4FBE28]0.110kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: AKS-74UN, AK-74N/M, RPK-16, AK-107  "
modmuzzleak74zenitdtk1Desc,"Weight: [4FBE28]0.128kg[-]\nRecoil: [4FBE28]-12%[-]\n\nCompatibility: AKS-74UN, AK-74N/M, RPK-16, AK-107, SKS","重量: [4FBE28]0.128kg[-]\n後座力: [4FBE28]-12%[-]\n\n相容性: AKS-74UN, AK-74N/M, RPK-16, AK-107, SKS  "
modsilencerhexagonAKDesc,"Weight: [4FBE28]0.462kg[-]\nRecoil: [4FBE28]-22%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AK-74N/M, RPK-16, AK-107, SKS, AKMN, AK-103, AK-109","重量: [4FBE28]0.462kg[-]\n後座力: [4FBE28]-22%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: AK-74N/M, RPK-16, AK-107, SKS, AKMN, AK-103, AK-109  "
modmuzzleak12stdDesc,"Weight: [4FBE28]0.100kg[-]\nRecoil: [4FBE28]-22%[-]\n\nCompatibility: AK-12",重量: [4FBE28]0.100kg[-]\n後座力: [4FBE28]-22%[-]\n\n相容性: AK-12  
modsilencerak12stdDesc,"Weight: [4FBE28]0.450kg[-]\nRecoil: [4FBE28]-20%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AK-12",重量: [4FBE28]0.450kg[-]\n後座力: [4FBE28]-20%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: AK-12
modmuzzlerpdbrakecompensatorDesc,"Weight: [4FBE28]0.124kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: RPD",重量: [4FBE28]0.124kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: RPD  
modmuzzle_mosin_tacfire_tanker_style_762x54rDesc,"Weight: [4FBE28]0.250kg[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: Mosin-Nagant",重量: [4FBE28]0.250kg[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: Mosin-Nagant  
silencer_mosin_bramit_std_762x54rDesc,"Weight: [4FBE28]1.100kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-28%[-]\nHipfire Accuracy: [FF4F33]-28%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Mosin-Nagant",重量: [4FBE28]1.100kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-28%[-]\n腰射精準度: [FF4F33]-28%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: Mosin-Nagant  
modsilencerSV98stdDesc,"Weight: [4FBE28]0.330kg[-]\nRecoil: [4FBE28]-16%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SV-98",重量: [4FBE28]0.330kg[-]\n後座力: [4FBE28]-16%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: SV-98  
modmuzzleSV98mk2SRVVDesc,"Weight: [4FBE28]0.460kg[-]\nRecoil: [4FBE28]-24%[-]\n\nCompatibility: SV-98",重量: [4FBE28]0.460kg[-]\n後座力: [4FBE28]-24%[-]\n\n相容性: SV-98  
modmuzzlepkzenitdtkDesc,"Weight: [4FBE28]0.124kg[-]\nRecoil: [4FBE28]-20%[-]\n\nCompatibility: PKP Pecheneg",重量: [4FBE28]0.124kg[-]\n後座力: [4FBE28]-20%[-]\n\n相容性: PKP Pecheneg  
modmuzzleash12stdDesc,"Weight: [4FBE28]0.150kg[-]\nRecoil: [4FBE28]-22%[-]\n\nCompatibility: ASh-12",重量: [4FBE28]0.150kg[-]\n後座力: [4FBE28]-22%[-]\n\n相容性: ASh-12  
modsilencerash12stdDesc,"Weight: [4FBE28]0.700kg[-]\nRecoil: [4FBE28]-20%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: ASh-12",重量: [4FBE28]0.700kg[-]\n後座力: [4FBE28]-20%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: ASh-12  
modsilencergriffinm4sdkDesc,"Weight: [4FBE28]0.397kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+30%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39","重量: [4FBE28]0.397kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+30%[-]\n\n相容性: 適用於 5.56×45, 5.45x39 口徑的絕大多數槍械  "
modsilencersocomrc2Desc,"Weight: [4FBE28]0.546kg[-]\nRecoil: [4FBE28]-18%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39","重量: [4FBE28]0.546kg[-]\n後座力: [4FBE28]-18%[-]\n人機功效: [FF4F33]-18%[-]\n腰射精準度: [FF4F33]-18%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: 適用於 5.56×45, 5.45x39 口徑的絕大多數槍械  "
modmuzzle_ar15_ferfrans_muzzle_brake_556x45Desc,"Weight: [4FBE28]0.150kg[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39","重量: [4FBE28]0.150kg[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: 適用於 5.56×45, 5.45x39 口徑的絕大多數槍械  "
modmuzzle_ar15_double_star_carlson_tac_comp_556x45Desc,"Weight: [4FBE28]0.208kg[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39","重量: [4FBE28]0.208kg[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: 適用於 5.56×45, 5.45x39 口徑的絕大多數槍械"
modmuzzle_ar15_alientech_gubich_muzzle_brake_556x45Desc,"Weight: [4FBE28]0.085kg[-]\nRecoil: [4FBE28]-22%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39",重量: [4FBE28]0.085kg[-]\n後座力: [4FBE28]-22%[-]\n\n相容性: 適用於 5.56×45、5.45x39 口徑的絕大多數槍械  
modmuzzleAR15thunderbeast223cbDesc,"Weight: [4FBE28]0.109kg[-]\nRecoil: [4FBE28]-10%[-]\n\nCompatibility: Most firearms chambered in 5.56×45\n\nActs as an adapter for 'Thunder Beast Ultra 5'",重量: [4FBE28]0.109kg[-]\n後座力: [4FBE28]-10%[-]\n\n相容性: 適用於 5.56×45 口徑的絕大多數槍械\n\n充當 'Thunder Beast Ultra 5' 的轉接器  
modmuzzleAR10thunderbeast30cbDesc,"Weight: [4FBE28]0.109kg[-]\nRecoil: [4FBE28]-10%[-]\n\nCompatibility: Most firearms chambered in 7.62×39 & 7.62×51\n\nActs as an adapter for 'Thunder Beast Ultra 5'",重量: [4FBE28]0.109kg[-]\n後座力: [4FBE28]-10%[-]\n\n相容性: 適用於 7.62×39、7.62×51 口徑的絕大多數槍械\n\n充當 'Thunder Beast Ultra 5' 的轉接器  
modsilencerthunderbeastultra5Desc,"Weight: [4FBE28]0.210kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-5%[-]\nHipfire Accuracy: [FF4F33]-5%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39, 7.62×39 & 7.62×51\n\nRequires adapter: 'Thunder Beast (30CB: AR10 7.62 / 223CB: AR15 5.56)'",重量: [4FBE28]0.210kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-5%[-]\n腰射精準度: [FF4F33]-5%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: 適用於 5.56×45、5.45x39、7.62×39、7.62×51 口徑的絕大多數槍械\n\n需要轉接器: 'Thunder Beast (30CB: AR10 7.62 / 223CB: AR15 5.56)'  
modsilencersdnaacmultiDesc,"Weight: [4FBE28]0.689kg[-]\nRecoil: [4FBE28]-22%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39, 7.62×39 & 7.62×51",重量: [4FBE28]0.689kg[-]\n後座力: [4FBE28]-22%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: 適用於 5.56×45、5.45x39、7.62×39、7.62×51 口徑的絕大多數槍械  
modmuzzle_ar10_precision_armament_m11_severe_duty_muzzle_brake_762x51Desc,"Weight: [4FBE28]0.120kg[-]\nRecoil: [4FBE28]-14%[-]\n\nCompatibility: Most firearms chambered in 7.62×39 & 7.62×51",重量: [4FBE28]0.120kg[-]\n後座力: [4FBE28]-14%[-]\n\n相容性: 適用於 7.62×39、7.62×51 口徑的絕大多數槍械  
modmuzzleAR10kacqdcDesc,"Weight: [4FBE28]0.145kg[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: Most firearms chambered in 7.62×39 & 7.62×51\n\nActs as an adapter for 'KAC PRS/QDC'",重量: [4FBE28]0.145kg[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: 適用於 7.62×39、7.62×51 口徑的絕大多數槍械\n\n充當 'KAC PRS/QDC' 的轉接器  
modsilencerprskacqdcDesc,"Weight: [4FBE28]0.453kg[-]\nRecoil: [4FBE28]-16%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most firearms chambered in 7.62×39 & 7.62×51\n\nRequires adapter: 'AR-10 KAC QDC'",重量: [4FBE28]0.453kg[-]\n後座力: [4FBE28]-16%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: 適用於 7.62×39、7.62×51 口徑的絕大多數槍械\n\n需要轉接器: 'AR-10 KAC QDC'  
modmuzzle_ar10_lantac_dgn762b_muzzle_brake_762x51Desc,"Weight: [4FBE28]0.090kg[-]\nRecoil: [4FBE28]-22%[-]\n\nCompatibility: Most firearms chambered in 7.62×39 & 7.62×51",重量: [4FBE28]0.090kg[-]\n後座力: [4FBE28]-22%[-]\n\n相容性: 適用於 7.62×39、7.62×51 口徑的絕大多數槍械  
modsilencerbtg28qd762Desc,"Weight: [4FBE28]0.577kg[-]\nRecoil: [4FBE28]-28%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: HK417 & G28",重量: [4FBE28]0.577kg[-]\n後座力: [4FBE28]-28%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: HK417 & G28  
modsilencerSIGclutchlokQDDesc,"Weight: [4FBE28]0.711kg[-]\nRecoil: [4FBE28]-20%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SIG MCX Spear",重量: [4FBE28]0.711kg[-]\n後座力: [4FBE28]-20%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: SIG MCX Spear  
modmuzzlesigtwoportbrakeDesc,"Weight: [4FBE28]0.095kg[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: Most firearms chambered in .300blk, 7.62×39 & 7.62×51",重量: [4FBE28]0.095kg[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: 適用於 .300blk、7.62×39、7.62×51 口徑的絕大多數槍械  
modsilencersigsrd762tiDesc,"Weight: [4FBE28]0.460kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most firearms chambered in .300blk, 7.62×39 & 7.62×51",重量: [4FBE28]0.460kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-10%[-]\n腰射精準度: [FF4F33]-10%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: 適用於 .300blk、7.62×39、7.62×51 口徑的絕大多數槍械  
modsilencersigsrdqdDesc,"Weight: [4FBE28]0.460kg[-]\nRecoil: [4FBE28]-20%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most firearms chambered in .300blk, 7.62×39 & 7.62×51","重量: [4FBE28]0.460kg[-]\n後座力: [4FBE28]-20%[-]\n人機功效: [FF4F33]-10%[-]\n腰射精準度: [FF4F33]-10%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: 適用於 .300blk, 7.62×39 & 7.62×51 口徑的絕大多數槍械  "
modmuzzleAI338LMtacticalDesc,"Weight: [4FBE28]0.230kg[-]\nRecoil: [4FBE28]-12%[-]\n\nCompatibility: AXMC, Mk-18\n\nActs as an adapter for 'AI .338 LM Sound Supressor'","重量: [4FBE28]0.230kg[-]\n後座力: [4FBE28]-12%[-]\n\n相容性: AXMC, Mk-18\n\n充當 'AI .338 LM Sound Suppressor' 的轉接器  "
modsilencerAI338LMsoundmoderatorDesc,"Weight: [4FBE28]0.665kg[-]\nRecoil: [4FBE28]-10%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AXMC, Mk-18\n\nRequires adapter: 'AI .338 LM Muzzle Brake'","重量: [4FBE28]0.665kg[-]\n後座力: [4FBE28]-10%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: AXMC, Mk-18\n\n需要轉接器: 'AI .338 LM Muzzle Brake'  "
