"Key","english",,"german","latam","french","italian","japanese","koreana","polish","brazilian","russian","turkish","schinese","tchinese"
"ttLevelUp","You are now [DECEA3]level {0}[-]",,,,,,,,,,,,,"您現在的等級為 [DECEA3] 等級 {0}[-]"
"diedGameMessage","[A0]{0} Lost In Tarkov",,,,,,,,,,,,,"[A0]{0} 迷失在塔科夫"
"npcTooltipTalk"," \nPress {0} to talk to {1}\n ",,,,,,,,,,,,,"\n按 {0} 與 {1} 對話\n"
"dewCollectorEmpty"," \n{0} Open {1} ([DECEA3]Empty[-])\n ",,,,,,,,,,,,,"\n{0} 開啟 {1} ([DECEA3]空[-])\n"
"dewCollectorHasDirtyWater"," \n{0} Open {1} ([CABE21]Water[-])\n ",,,,,,,,,,,,,"\n{0} 開啟 {1} ([CABE21]水[-])\n"
"itemTooltipFocusedOne"," \n{0} Collect: {1}\n ",,,,,,,,,,,,,"\n{0} 收集：{1}\n"
"itemTooltipFocusedSeveral"," \n{0} Collect: {2} of {1}\n ",,,,,,,,,,,,,"\n{0} 收集：{2} 個，共 {1}\n"
"lootEntity"," \nSearch {1} (Untouched)\n ",,,,,,,,,,,,,"\n搜尋 {1} (未觸碰)\n"
"lootTooltipEmpty"," \n[b]Empty[-]\n ",,,,,,,,,,,,,"\n[b]空[-]\n"
"lootTooltipNew"," \nSearch {1} (Untouched)\n ",,,,,,,,,,,,,"\n搜尋 {1} (未觸碰)\n"
"lootTooltipTouched"," \nSearch {1}\n ",,,,,,,,,,,,,"\n搜尋 {1}\n"
"tooltipJammed"," \nUse {1} ([DECEA3]Jammed[-])\n ",,,,,,,,,,,,,"\n使用 {1} ([DECEA3]卡住[-])\n"
"tooltipLocked"," \nUse {1} ([DECEA3]Locked[-])\n ",,,,,,,,,,,,,"\n使用 {1} ([DECEA3]鎖定[-])\n"
"tooltipUnlocked"," \n{0} Use {1} ([DECEA3]Unlocked[-])\n ",,,,,,,,,,,,,"\n{0} 使用 {1} ([DECEA3]解鎖[-])\n"
"questBlockActivate"," \nPress {{0}} to Activate: {1}\n ",,,,,,,,,,,,,"\n按{{0}} 啟動：{1}\n"
"questRallyActivate"," \nPress {{0}} to Start Quest: [DECEA3]{1}[-]\n ",,,,,,,,,,,,,"\n按 {{0}} 開始任務：[DECEA3]{1}[-]\n"
"tooltipInteract","\nHold {0} to interact with {1}\n ",,,,,,,,,,,,,"\n按住 {0} 與 {1} 互動\n"
"vendingMachineActivate","\n{0} to interact with {1}\n ",,,,,,,,,,,,,"\n{0} 與 {1} 互動\n"
"useCampfire"," \nPress {0} to use\n ",,,,,,,,,,,,,"\n按 {0} 使用\n"
"useForge"," \nPress {0} to use Forge\n ",,,,,,,,,,,,,"\n按 {0} 使用鍛造\n"
"useSecureDoor"," \nPress {0} to open\n ",,,,,,,,,,,,,"\n按 {0} 開啟\n"
"useWorkstation"," \nPress {0} to use\n ",,,,,,,,,,,,,"\n按 {0} 使用\n"
"pickupCrops"," \nPress {{0}} to pick up: {0} {1}\n ",,,,,,,,,,,,,"\n按 {{0}} 取：{0} {1}\n"
"pickupPrompt"," \nPress {{0}} to pick up: {0}\n ",,,,,,,,,,,,,"\n按 {{0}} 取：{0}\n"
"sleepingBagOwnership"," \n{0} is owned by {1}\n ",,,,,,,,,,,,,"\n{0} 歸 {1} 所有\n"
"ttPressTo"," \nPress {0} to {1}\n ",,,,,,,,,,,,,"\n按 {0} 到 {1}\n"
"cntShippingCrateBookstore"," \nCrack-A-Book Sealed Shipping Crate\n ",,,,,,,,,,,,,"\nCrack-A-Book 密封運輸箱\n"
"cntShippingCrateCarParts"," \nPass-N-Gas Sealed Shipping Crate\n ",,,,,,,,,,,,,"\nPass-N-Gas 密封運輸箱\n"
"cntShippingCrateConstructionSupplies"," \nConstruction Shipping Crate\n ",,,,,,,,,,,,,"\n建築運輸箱\n"
"cntShippingCrateHero"," \nSealed Shipping Crate\n ",,,,,,,,,,,,,"\n密封運輸箱\n"
"cntShippingCrateLabEquipment"," \nPop-N-Pills Sealed Shipping Crate\n ",,,,,,,,,,,,,"\nPop-N-Pills 密封運輸箱\n"
"cntShippingCrateMoPowerElectronics"," \nMo Power Electronics Sealed Shipping Crate\n ",,,,,,,,,,,,,"\nMo Power Electronics 密封運輸箱\n"
"cntShippingCrateSavageCountry"," \nSavage Country Sealed Shipping Crate\n ",,,,,,,,,,,,,"\nSavage Country 密封運輸箱\n"
"cntShippingCrateShamway"," \nShamway Sealed Shipping Crate\n ",,,,,,,,,,,,,"\nShamway 密封運輸箱\n"
"cntShippingCrateShotgunMessiah"," \nShotgun Messiah Sealed Shipping Crate\n ",,,,,,,,,,,,,"\nShotgun Messiah 密封運輸箱\n"
"cntShippingCrateWorkingStiffs"," \nWorking Stiff Sealed Shipping Crate\n ",,,,,,,,,,,,,"\nWorking Stiff 密封運輸箱\n"
"starterCase","Starter Case",,,,,,,,,,,,,"入門箱"
"starterCaseDesc","You don't remember what happened, but you know all your belongings are in this case.",,,,,,,,,,,,,"你不記得發生了什麼，但你知道你所有的物品都在這個箱子裡。"
"bundleStarter1","Cycling Hero Kit",,,,,,,,,,,,,"騎乘英雄套裝"
"bundleStarter1Desc","This kit contains following items:\nA bicycle and three cans of Rat Cola",,,,,,,,,,,,,"此套裝包含以下物品：\n1 輛 自行車\n3 罐 鼠尾草可樂"
"bundleStarter2","Alcoholic Craftsman Kit",,,,,,,,,,,,,"酒鬼工匠套裝"
"bundleStarter2Desc","This kit contains following items:\nA fireaxe, a small pickaxe, a wrench, a shovel, two bottles of Pevko Beer and a can of Tushonka",,,,,,,,,,,,,"此套裝包含以下物品：\n1 把 消防斧\n1 把 小鎬\n1 把 扳手\n1 把 鏟子\n2 瓶 佩夫科啤酒\n1 罐 圖肖卡啤酒"
"bundleStarter3","Special Builder Kit",,,,,,,,,,,,,"特殊建造者套裝"
"bundleStarter3Desc","This kit contains following items:\nA workbench, a junk sledge, a claw hammer, a wallet, two packs of vita juice and a can of condensed milk",,,,,,,,,,,,,"此套裝包含以下物品：\n1 個 工作台\n1 輛 破爛鏟車\n1 把 羊角錘\n1 個 錢包\n2 罐 維他命果汁\n1 罐 煉乳"
"bundleStarter4","Medical Maniac Kit",,,,,,,,,,,,,"醫療狂人套裝"
"bundleStarter4Desc","This kit contains following items:\nA CMS, two herbal antibiotics, two IFAKs, five adrenaline injectors, five propital injectors and five morphine injector",,,,,,,,,,,,,"此套裝包含以下物品：\n1 個 CMS\n2 瓶 草藥抗生素\n2 個 IFAK\n5 個 腎上腺素注射器\n5 個 丙酮注射器\n5 個 嗎啡注射器"
"bundleStarter5","Hunters' Secret Kit",,,,,,,,,,,,,"獵人秘密套裝"
"bundleStarter5Desc","This kit contains following items:\nA recurve bow, a knife, 15 Iron & 5 Steel Arrows, two Iskra's and two EWR's",,,,,,,,,,,,,"此套裝包含以下物品：\n1 張 反曲弓\n1 把 刀\n15 支 鐵箭\n5 支 鋼箭\n2 個 Iskra 軍用口糧\n2 包 應急用水"
"bundleStarter6","Nu, Bl[0039A6]ya[-][D52B1E]t![-] Kit",,,,,,,,,,,,,"Nu, Bl[0039A6]ya[-][D52B1E]t![-] 工具包"
"bundleStarter6Desc","This kit contains following items:\nAn AK, some ammo and two bottles of vodka",,,,,,,,,,,,,"此工具包包含以下物品：\n1 支 AK 步槍\n一些彈藥\n兩瓶伏特加"
"noteEFT","Note From A Stranger",,,,,,,,,,,,,"陌生人的留言"
"noteEFTDesc","Whoever finds this: Everyone is dead. I am dead. You are dead. Noone can survive. Except Barney. No. Not even Barney. Anyway, take my stuff And Escape From Navezgane!",,,,,,,,,,,,,"找到這張紙條的人：所有人都死了。我死了。你也死了。沒人能活下來。除了 Barney。不，就連 Barney 也不行。總之，帶我的東西，逃離 Navezgane！"
"npcTraderJoel","[D52685]Barney[-]",,,,,,,,,,,,,
"zombieNurse","Nurse Zombie",,,,,,,,,,,,,"護士殭屍"
"zombieNurseFeral","Nurse Zombie",,,,,,,,,,,,,"護士殭屍"
"zombieNurseRadiated","Nurse Zombie",,,,,,,,,,,,,"護士殭屍"
"zombieLab","Lab Zombie",,,,,,,,,,,,,"實驗室殭屍"
"zombieLabFeral","Lab Zombie",,,,,,,,,,,,,"實驗室殭屍"
"zombieLabRadiated","Lab Zombie",,,,,,,,,,,,,"實驗室殭屍"
"zombieFatCop","Fat Cop Zombie",,,,,,,,,,,,,"胖警察殭屍"
"zombieFatCopFeral","Fat Cop Zombie",,,,,,,,,,,,,"胖警察殭屍"
"zombieFatCopRadiated","Fat Cop Zombie",,,,,,,,,,,,,"胖警察殭屍"
"zombieSoldier","Soldier Zombie",,,,,,,,,,,,,"士兵殭屍"
"zombieSoldierFeral","Soldier Zombie",,,,,,,,,,,,,"士兵殭屍"
"zombieSoldierRadiated","Soldier Zombie",,,,,,,,,,,,,"士兵殭屍"
"zombieBiker","Biker Zombie",,,,,,,,,,,,,"摩托黨殭屍"
"zombieBikerFeral","Biker Zombie",,,,,,,,,,,,,"摩托黨殭屍"
"zombieBikerRadiated","Biker Zombie",,,,,,,,,,,,,"摩托黨殭屍"
"zombieLumberjack","Lumberjack Zombie",,,,,,,,,,,,,"伐木工殭屍"
"zombieLumberjackFeral","Lumberjack Zombie",,,,,,,,,,,,,"伐木工殭屍"
"zombieLumberjackRadiated","Lumberjack Zombie",,,,,,,,,,,,,"伐木工殭屍"
"zombieDemolition","Demolitioner",,,,,,,,,,,,,"爆破手"
"zombieMutatedLootGob","Mutated Zombie",,,,,,,,,,,,,"變種殭屍"
"EntityLootContainerLootGobMutated","[FFD700]Army Munitions Box[-]",,,,,,,,,,,,,"[FFD700]軍需品箱[-]"
"zombieSoldierLootGob","Soldier Zombie",,,,,,,,,,,,,"士兵殭屍"
"EntityLootContainerLootGob","Weapons Bag",,,,,,,,,,,,,"武器包"
"zombieBikerBomber","Biker Zombie",,,,,,,,,,,,,"摩托黨殭屍"
"zombieLumberjackAxe","Lumberjack Zombie",,,,,,,,,,,,,"伐木工殭屍"
"zombieLumberjackFeralAxe","Lumberjack Zombie",,,,,,,,,,,,,"伐木工殭屍"
"EntityLootContainerLootLumber1","Lumberjack Axe",,,,,,,,,,,,,"伐木工斧"
"zombieDemolitionLootGob","Demolitioner",,,,,,,,,,,,,"爆破手"
"EntityLootContainerLootGobDemo","[FFD700]Hardened Hero Chest[-]",,,,,,,,,,,,,"[FFD700]強化英雄寶箱[-]"
"resourceMechanicalParts","Metal Spare Parts",,,,,,,,,,,,,"金屬零件"
"resourceElectricParts","Electronic Components",,,,,,,,,,,,,"電子元件"
"resourceHeadlight","Light Bulb",,,,,,,,,,,,,"燈泡"
"resourceHeadlightDesc","A light bulb is useful for creating vehicles and light emitting devices.",,,,,,,,,,,,,"燈泡可用於製造載具和發光設備。"
"resourcePotassiumNitratePowder","KNO₃",,,,,,,,,,,,,"KNO₃"
"resourcePotassiumNitratePowderBundle","Stack of KNO₃ (6000)",,,,,,,,,,,,,"一堆 KNO₃ (6000)"
"resourceLegendaryParts","[BB00FF]KEKTAPE[-]",,,,,,,,,,,,,"[BB00FF]KEKTAPE管道膠帶[-]"
"resourceLegendaryPartsDesc","Important crafting ingredient for high-level gear.\n\nUsed to craft T4 items & modifiers.",,,,,,,,,,,,,"高級裝備的重要合成材料。 \n\n用於合成T4物品和修改器。"
"resourcePaperDesc","Paper is an important ingredient for crafting a variety of useful items including cellulose powder, counterfeit money and shotgun shells.\nCrafted in lots of [D3CE1D]10[-]",,,,,,,,,,,,,"紙張是製作各種實用物品的重要材料，包括纖維素粉末、假幣和霰彈槍彈殼。 \n可製作數量：[D3CE1D]10[-]"
"resourceScrapPolymersDesc","Bits of rubber and plastics that you may carefully mold into new shapes.\nCrafted in lots of [D3CE1D]10[-]",,,,,,,,,,,,,"一些橡膠和塑料，你可以用它們精心塑造成新的形狀。 \n可製作數量：[D3CE1D]10[-]"
"medicalBloodBag","Medical Bloodset",,,,,,,,,,,,,"醫用輸血裝置"
"drugVitamins","Bottle of OLOLO Multivitamins",,,,,,,,,,,,,"一瓶OLOLO複合維生素"
"ammoGasCanDesc","A can of gas. Can be used to fuel powered tools and vehicles.\nCrafted in lots of [D3CE1D]2[-]",,,,,,,,,,,,,"一罐汽油。可用於為動力工具和車輛提供燃料。 \n可製作數量：[D3CE1D]2[-]"
"resourceRepairKit","Vehicle Repair Kit",,,,,,,,,,,,,"車輛修理工具包"
"resourceRepairKitDesc","Those Repair Kits are mainly used for vehicle repair.",,,,,,,,,,,,,"這些修理工具包主要用於車輛修理。"
"cntGunSafeInsecure","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureArmyGreen","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureBlue","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureBrown","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureGreen","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureGrey","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureOrange","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecurePink","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecurePurple","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureRed","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureWhite","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeInsecureYellow","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafe","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeArmyGreen","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeBlue","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeBrown","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍械保險箱[-]"
"cntGunSafeGreen","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeGrey","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeOrange","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafePink","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafePurple","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeRed","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeWhite","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntGunSafeYellow","[FFD700]Gun Safe[-]",,,,,,,,,,,,,"[FFD700]槍枝保險箱[-]"
"cntAmmoPileLarge","Large Armament Pile",,,,,,,,,,,,,"大型武器堆"
"cntMunitionsBoxArmy","[FFD700]Army Munitions Box[-]",,,,,,,,,,,,,"[FFD700]陸軍彈藥箱[-]"
"cntMunitionsBoxBlue","[FFD700]Army Munitions Box[-]",,,,,,,,,,,,,"[FFD700]陸軍彈藥箱[-]"
"cntMunitionsBoxGreen","[FFD700]Army Munitions Box[-]",,,,,,,,,,,,,"[FFD700]陸軍彈藥箱[-]"
"cntMunitionsBoxOrange","[FFD700]Army Munitions Box[-]",,,,,,,,,,,,,"[FFD700]陸軍彈藥箱[-]"
"cntMunitionsBoxRed","[FFD700]Army Munitions Box[-]",,,,,,,,,,,,,"[FFD700]陸軍彈藥箱[-]"
"cntHardenedChestInsecure","[FFD700]Hardened Chest[-]",,,,,,,,,,,,,"[FFD700]強化寶箱[-]"
"cntHardenedChestSecure","[FFD700]Hardened Chest[-]",,,,,,,,,,,,,"[FFD700]強化寶箱[-]"
"cntHardenedChestInsecureT5","[FFD700]Hardened Hero Chest[-]",,,,,,,,,,,,,"[FFD700]強化英雄寶箱[-]"
"cntHardenedChestSecureT5","[FFD700]Hardened Hero Chest[-]",,,,,,,,,,,,,"[FFD700]強化英雄寶箱[-]"
"cntBuriedWeaponChest","Buried Weapon Chest",,,,,,,,,,,,,"埋藏武器箱"
"cntDisplayCaseAmmoLeftBroken","Pistol Showcase",,,,,,,,,,,,,"手槍展示櫃"
"cntDisplayCaseAmmoMiddleBroken01","Pistol Showcase",,,,,,,,,,,,,"手槍展示櫃"
"cntDisplayCaseAmmoMiddleBroken02","Pistol Showcase",,,,,,,,,,,,,"手槍展示櫃"
"cntDisplayCaseAmmoRightBroken","Pistol Showcase",,,,,,,,,,,,,"手槍展示櫃"
"cntGunRackSmallArmor","Armor Rack",,,,,,,,,,,,,"裝甲架"
